iter	Passed	Remaining
0	8	8031
1	25	12651
2	33	11047
3	40	10114
4	48	9691
5	56	9310
6	64	9093
7	72	8972
8	80	8810
9	88	8722
10	96	8699
11	105	8700
12	116	8847
13	123	8676
14	135	8913
15	158	9728
16	177	10283
17	192	10517
18	207	10700
19	218	10723
20	231	10786
21	240	10701
22	252	10712
23	262	10682
24	274	10711
25	289	10828
26	296	10701
27	308	10709
28	319	10713
29	330	10686
30	340	10632
31	349	10585
32	359	10529
33	369	10500
34	386	10662
35	397	10647
36	409	10646
37	418	10602
38	427	10526
39	435	10455
40	444	10402
41	453	10340
42	462	10289
43	470	10233
44	478	10159
45	486	10086
46	494	10033
47	504	10009
48	512	9941
49	519	9870
50	526	9802
51	534	9738
52	541	9670
53	548	9603
54	555	9537
55	562	9481
56	569	9426
57	576	9367
58	584	9317
59	591	9264
60	598	9213
61	605	9159
62	612	9104
63	619	9056
64	626	9014
65	633	8968
66	641	8927
67	648	8885
68	656	8851
69	664	8823
70	671	8785
71	679	8753
72	686	8720
73	694	8685
74	701	8652
75	708	8618
76	716	8586
77	723	8550
78	730	8516
79	738	8488
80	745	8460
81	753	8431
82	761	8408
83	768	8379
84	775	8349
85	782	8319
86	789	8289
87	797	8261
88	804	8237
89	812	8210
90	819	8183
91	826	8156
92	833	8133
93	841	8107
94	848	8080
95	855	8057
96	862	8030
97	870	8009
98	877	7990
99	885	7969
100	892	7945
101	900	7925
102	907	7906
103	915	7888
104	923	7868
105	930	7849
106	938	7830
107	945	7809
108	952	7782
109	959	7761
110	966	7740
111	973	7721
112	980	7699
113	987	7676
114	995	7657
115	1002	7636
116	1009	7620
117	1016	7598
118	1023	7579
119	1030	7556
120	1037	7534
121	1044	7514
122	1051	7495
123	1057	7471
124	1064	7454
125	1073	7448
126	1082	7442
127	1090	7426
128	1097	7409
129	1105	7396
130	1112	7381
131	1120	7366
132	1127	7352
133	1135	7339
134	1143	7325
135	1150	7310
136	1157	7292
137	1165	7277
138	1172	7262
139	1179	7246
140	1187	7233
141	1195	7220
142	1202	7208
143	1210	7193
144	1217	7180
145	1224	7164
146	1231	7147
147	1239	7135
148	1246	7120
149	1253	7105
150	1261	7090
151	1268	7075
152	1275	7061
153	1282	7045
154	1289	7030
155	1296	7015
156	1302	6992
157	1309	6978
158	1317	6966
159	1321	6938
160	1326	6913
161	1333	6900
162	1341	6886
163	1347	6869
164	1354	6853
165	1361	6840
166	1368	6824
167	1375	6811
168	1382	6795
169	1389	6782
170	1395	6767
171	1400	6743
172	1407	6728
173	1419	6739
174	1427	6728
175	1434	6714
176	1440	6699
177	1447	6684
178	1454	6668
179	1460	6653
180	1467	6638
181	1473	6622
182	1479	6607
183	1487	6594
184	1494	6582
185	1500	6568
186	1507	6552
187	1512	6534
188	1519	6521
189	1526	6507
190	1532	6493
191	1539	6479
192	1545	6463
193	1551	6444
194	1557	6428
195	1563	6411
196	1569	6398
197	1576	6386
198	1583	6373
199	1590	6361
200	1597	6349
201	1603	6333
202	1608	6316
203	1614	6298
204	1619	6278
205	1624	6262
206	1631	6249
207	1638	6237
208	1644	6224
209	1651	6213
210	1658	6200
211	1664	6187
212	1671	6176
213	1678	6165
214	1685	6152
215	1691	6140
216	1697	6126
217	1703	6112
218	1709	6097
219	1715	6081
220	1721	6066
221	1726	6051
222	1732	6036
223	1739	6025
224	1746	6015
225	1753	6004
226	1760	5993
227	1766	5982
228	1773	5970
229	1779	5958
230	1786	5947
231	1791	5931
232	1798	5919
233	1804	5906
234	1810	5892
235	1815	5878
236	1821	5864
237	1827	5850
238	1833	5838
239	1840	5828
240	1847	5817
241	1853	5806
242	1860	5796
243	1867	5785
244	1873	5772
245	1880	5762
246	1887	5754
247	1894	5744
248	1901	5735
249	1908	5724
250	1915	5715
251	1922	5705
252	1928	5695
253	1936	5686
254	1942	5676
255	1950	5668
256	1957	5659
257	1964	5649
258	1971	5640
259	1978	5631
260	1985	5621
261	1992	5612
262	1999	5603
263	2006	5594
264	2014	5586
265	2021	5577
266	2027	5567
267	2034	5557
268	2041	5546
269	2047	5537
270	2054	5526
271	2061	5517
272	2068	5507
273	2074	5496
274	2081	5487
275	2091	5485
276	2100	5482
277	2108	5476
278	2117	5472
279	2125	5465
280	2134	5462
281	2143	5458
282	2154	5458
283	2163	5455
284	2173	5452
285	2181	5445
286	2191	5444
287	2205	5451
288	2215	5451
289	2224	5446
290	2233	5441
291	2241	5435
292	2249	5428
293	2257	5420
294	2265	5414
295	2273	5407
296	2281	5399
297	2288	5390
298	2295	5382
299	2303	5374
300	2311	5367
301	2318	5358
302	2326	5351
303	2333	5342
304	2341	5336
305	2350	5330
306	2357	5322
307	2365	5314
308	2373	5308
309	2383	5305
310	2396	5308
311	2404	5301
312	2412	5295
313	2420	5287
314	2427	5278
315	2434	5270
316	2442	5261
317	2449	5254
318	2457	5246
319	2464	5237
320	2472	5229
321	2479	5220
322	2486	5212
323	2494	5204
324	2501	5196
325	2509	5187
326	2516	5179
327	2525	5173
328	2532	5164
329	2540	5157
330	2547	5149
331	2555	5141
332	2562	5133
333	2570	5126
334	2578	5117
335	2585	5109
336	2592	5100
337	2599	5091
338	2606	5083
339	2613	5073
340	2621	5065
341	2628	5057
342	2635	5048
343	2643	5040
344	2650	5032
345	2660	5028
346	2668	5022
347	2677	5015
348	2684	5006
349	2691	4999
350	2698	4990
351	2706	4982
352	2714	4974
353	2721	4966
354	2728	4958
355	2736	4949
356	2743	4941
357	2750	4932
358	2757	4924
359	2764	4915
360	2772	4906
361	2779	4898
362	2786	4889
363	2793	4880
364	2799	4870
365	2806	4862
366	2813	4853
367	2820	4844
368	2827	4835
369	2834	4826
370	2841	4817
371	2848	4808
372	2855	4799
373	2861	4790
374	2869	4781
375	2875	4772
376	2882	4763
377	2889	4754
378	2895	4744
379	2902	4735
380	2909	4726
381	2915	4717
382	2922	4707
383	2929	4699
384	2935	4689
385	2942	4680
386	2949	4671
387	2955	4662
388	2962	4653
389	2969	4643
390	2975	4635
391	2982	4626
392	2989	4616
393	2995	4607
394	3002	4599
395	3009	4589
396	3016	4581
397	3023	4572
398	3030	4564
399	3036	4555
400	3043	4546
401	3050	4537
402	3057	4529
403	3064	4520
404	3070	4511
405	3077	4502
406	3084	4494
407	3091	4485
408	3098	4477
409	3105	4468
410	3111	4459
411	3118	4450
412	3125	4442
413	3132	4433
414	3139	4425
415	3146	4417
416	3153	4408
417	3159	4399
418	3167	4391
419	3174	4383
420	3180	4374
421	3187	4365
422	3194	4357
423	3200	4348
424	3206	4338
425	3212	4328
426	3218	4318
427	3224	4308
428	3231	4301
429	3238	4292
430	3245	4284
431	3252	4276
432	3259	4267
433	3266	4259
434	3273	4251
435	3280	4243
436	3288	4236
437	3295	4228
438	3302	4220
439	3309	4212
440	3316	4203
441	3323	4195
442	3330	4187
443	3337	4179
444	3344	4171
445	3352	4163
446	3358	4155
447	3365	4147
448	3373	4139
449	3380	4131
450	3387	4123
451	3393	4114
452	3400	4106
453	3408	4098
454	3415	4090
455	3422	4082
456	3429	4074
457	3436	4067
458	3443	4058
459	3450	4050
460	3456	4041
461	3462	4032
462	3468	4022
463	3474	4013
464	3481	4005
465	3488	3997
466	3494	3988
467	3501	3980
468	3507	3971
469	3513	3962
470	3520	3953
471	3527	3945
472	3533	3937
473	3540	3929
474	3546	3919
475	3552	3910
476	3558	3901
477	3565	3893
478	3572	3885
479	3578	3876
480	3584	3867
481	3590	3858
482	3596	3850
483	3603	3841
484	3610	3834
485	3616	3825
486	3622	3815
487	3628	3806
488	3635	3798
489	3641	3790
490	3649	3782
491	3655	3773
492	3661	3764
493	3668	3757
494	3675	3749
495	3682	3741
496	3688	3733
497	3695	3725
498	3702	3716
499	3708	3708
500	3715	3701
501	3723	3693
502	3731	3687
503	3738	3679
504	3745	3671
505	3752	3663
506	3759	3655
507	3766	3647
508	3773	3639
509	3779	3631
510	3786	3623
511	3793	3615
512	3800	3607
513	3807	3599
514	3814	3592
515	3821	3584
516	3827	3576
517	3834	3567
518	3839	3558
519	3846	3550
520	3853	3543
521	3860	3535
522	3867	3527
523	3874	3519
524	3881	3511
525	3887	3503
526	3894	3495
527	3901	3487
528	3908	3479
529	3915	3472
530	3922	3464
531	3928	3456
532	3934	3447
533	3940	3438
534	3947	3431
535	3954	3423
536	3961	3415
537	3968	3407
538	3975	3399
539	3982	3392
540	3988	3384
541	3994	3375
542	4000	3366
543	4007	3359
544	4014	3351
545	4021	3343
546	4028	3336
547	4035	3328
548	4041	3320
549	4047	3311
550	4054	3303
551	4061	3296
552	4068	3288
553	4075	3281
554	4082	3273
555	4089	3265
556	4096	3257
557	4102	3249
558	4109	3242
559	4116	3234
560	4123	3226
561	4129	3218
562	4136	3210
563	4143	3203
564	4150	3195
565	4157	3188
566	4164	3180
567	4171	3172
